Name,Score,Address,City,Zip
Colony Dash,95,7525 N Richmond Ave,Portland,97203
Cathedral Coffee,98.5,7530 N Willamette Blvd,Portland,97203
Sparkys Pizza,95,7530 NE Martin Luther King Jr Blvd,Portland,97211
Deas In and Out,91.33333333,755 NE Burnside Rd,Gresham,97030
Portway Tavern,100,7600 N Willamette Blvd,Portland,97203
Rocky's Sports & Spirits,92,7610 SE 72nd Ave,Portland,97206
"N Portland Eagles, #3426",98.33333333,7611 N Exeter Ave,Portland,97203
Phoenix City Seafood Restaurant,77.33333333,7632 SE Powell Blvd,Portland,97206
"KFC, 080026",93.5,7641 SW Barbur Blvd,Portland,97219
Village Hut,92,7647 SW Capitol Hwy,Portland,97219
Lucky Labrador,97,7675 SW Capitol Hwy,Portland,97219
Mojave Grill and Cantina,77,77 NE 4th St,Gresham,97030
"Kure Juice Bar, #3",100,77 SE Yamhill St,Portland,97214
Little Big Burger - Multnomah Village,92,7705 SW Capitol Highway,Portland,97219
Blue Star Donuts,94.5,7707 SW Capitol Highway,Portland,97219
Meals on Wheels People Central Kitchen,96.66666667,7710 SW 31st Ave,Portland,97219
"Taco Bell, #31832",95.66666667,7710 SW Barbur Blvd,Portland,97219
Reverends BBQ,91.25,7712 SE 13th Ave,Portland,97202
Spielman Bagels,88.33333333,7713 SW Capitol Hwy Hwy,Portland,97219
A Cena Festa,98.75,7730 SE 13th Ave,Portland,97202
Winnie's Lounge,100,7737 SE 82nd Ave,Portland,97266
"Starbucks Coffee, Multnomah Village,#417",97.5,7737 SW Capitol Hwy,Portland,97219
Sunny New York Pizza,89.66666667,7738 SE 13th Avenue,Portland,97202
Acena Restaurant,93.25,7742 SE 13th Ave,Portland,97202
OCC Concessions Hall A,99.13333333,777 NE Martin Luther King Jr Blvd,Portland,97232
Journeys,90,7771 SW Capitol Hwy,Portland,97219
Thai Herbs Restaurant,81,7779 SW Capitol Hwy,Portland,97219
